"","id","full_name"
"1",474029,"Steven Putnam"
"2",502062,"Alan Oaks"
"3",519440,"Kolby Wood"
"4",534591,"Bryce Aspinwall"
"5",534593,"Jim Bircher"
"6",534595,"Jason Christian"
"7",534597,"Jeff DeCarlo"
"8",534615,"Anthony Toth"
"9",534614,"Garrett Stephens"
"10",534613,"Vinnie Sarafa"
"11",534612,"Nate Recknagel"
"12",534611,"Zach Putnam"
"13",534609,"Matt Miller"
"14",534608,"Jason Malefakis"
"15",534607,"Leif Mahler"
"16",534606,"Ryan LaMarre"
"17",534620,"Travis Smith"
"18",534619,"Sam Yashinsky"
"19",534618,"Mike Wilson"
"20",534617,"Derek VanBuskirk"
"21",534616,"Nick Urban"
"22",534605,"Mike Kittle"
"23",534604,"Eric Katzman"
"24",534603,"Tim Kalczynski"
"25",534602,"Ben Jenzen"
"26",534601,"Matt Gerbe"
"27",534600,"Chris Fetter"
"28",534599,"Kenny Fellows"
"29",534598,"Jeff Diamond"
"30",534596,"Kevin Cislo"
"31",534594,"Tyler Burgoon"
"32",534592,"Chris Berset"
"33",534590,"Adam Arbour"
"34",502646,"Michael Dufek"
"35",477200,"Michael Powers"
"36",488651,"Adam Abraham"
"37",110189,"Moises Alou"
"38",112077,"Raul Casanova"
"39",112116,"Luis Castillo"
"40",113232,"Carlos Delgado"
"41",113702,"Damion Easley"
"42",118377,"Pedro Martinez"
"43",121215,"Ricardo Rincon"
"44",121616,"Olmedo Saenz"
"45",123107,"Fernando Tatis"
"46",123610,"Jose Valentin"
"47",123790,"Billy Wagner"
"48",133340,"Orlando Hernandez"
"49",135783,"Ramon Castro"
"50",136724,"Marlon Anderson"
"51",136860,"Carlos Beltran"
"52",150011,"Scott Schoeneweis"
"53",150153,"Nelson Figueroa"
"54",150393,"Tony Armas"
"55",150411,"Brian Schneider"
"56",236155,"Robinson Cancel"
"57",276054,"Brady Clark"
"58",276371,"Johan Santana"
"59",277184,"Matt Wise"
"60",346795,"Endy Chavez"
"61",400093,"Duaner Sanchez"
"62",407757,"Nate Field"
"63",407785,"Anderson Machado"
"64",407872,"Joselo Diaz"
"65",407901,"Jorge Sosa"
"66",408230,"Pedro Feliciano"
"67",408310,"Aaron Heilman"
"68",408314,"Jose Reyes"
"69",424144,"Oliver Perez"
"70",477003,"Jonathon Niese"
"71",425508,"Ryan Church"
"72",425530,"Brian Stokes"
"73",425843,"Ruddy Lugo"
"74",429720,"John Maine"
"75",430905,"Ruben Gotay"
"76",431151,"David Wright"
"77",433677,"Juan Padilla"
"78",434584,"Ben Johnson"
"79",501925,"Joe Smith"
"80",494686,"Fernando Martinez"
"81",490314,"Michel Abreu"
"82",434586,"Ambiorix Burgos"
"83",434636,"Angel Pagan"
"84",435038,"Anderson Hernandez"
"85",435081,"Mike Nickeas"
"86",435238,"Gustavo Molina"
"87",444370,"Carlos Muniz"
"88",445239,"Adam Bostick"
"89",446333,"Eddie Kunz"
"90",450306,"Jason Vargas"
"91",453206,"Brant Rustich"
"92",455930,"Ryan Cullen"
"93",455997,"Salomon Manriquez"
"94",458187,"Andy Cavazos"
"95",458730,"Robert Parnell"
"96",458974,"Willie Collazo"
"97",460059,"Mike Pelfrey"
"98",461862,"Steven Register"
