batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Out,112.45,64.26,502042,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,105.42,169.68,451085,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,95.38,49.2,408241,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,203.82,105.42,456701,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,144.58,76.31,517008,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,212.85,105.42,453286,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,163.65,106.43,275933,H,A,11,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,108.43,62.25,136600,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,136.55,166.67,346793,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,164.66,285064,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,131.53,80.32,570649,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,129.52,91.37,407793,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,225.9,77.31,456379,H,H,10,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,65.26,124.5,493133,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,124.5,72.29,451775,O,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,182.73,57.23,444857,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,127.51,179.72,445590,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,82.33,64.26,570649,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Triple,218.88,107.43,612672,H,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,176.71,92.37,592665,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,134.54,152.61,433579,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,76.31,99.4,592767,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,185.74,85.34,543521,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,119.48,150.6,543507,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,85.34,77.31,456034,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,188.76,33.13,407908,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,117.47,156.63,519096,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,149.6,158.63,468504,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,108.43,99.4,542669,O,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,140.56,144.58,434378,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,69.28,102.41,518813,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,93.37,129.52,430613,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,124.5,67.27,434378,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,61.24,115.46,430589,O,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,76.31,81.33,547874,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,86.35,118.47,570649,H,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,112.45,155.62,502748,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,120.48,143.57,571901,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,135.54,161.65,450306,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,126.51,181.73,500779,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,87.35,99.4,453198,H,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,118.47,172.69,518633,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,155.62,453222,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,115.46,119.48,461848,H,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,209.84,96.39,275933,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,184.74,99.4,275933,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,173.69,123.49,150274,H,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,51.2,124.5,543278,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,98.39,130.52,425386,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,107.43,170.68,504379,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,55.22,108.43,506433,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,140.56,153.61,434378,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,96.39,50.2,425386,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,103.41,169.68,502593,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,112.45,160.64,433587,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,221.89,70.28,502624,H,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,150.6,166.67,500779,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,170.68,103.41,461872,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,152.61,81.33,543809,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,176.71,108.43,502032,H,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,110.44,144.58,407825,O,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,64.26,127.51,456034,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,154.62,444857,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,153.61,166.67,518633,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,186.75,105.42,434378,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,60.24,144.58,518633,H,A,3,Michael,Brantley,L,CLE,Michael Brantley
